### word lemma
'hoods 'hood
advancements advancement
advancers advancer
advances advance
advancing advance
advantaged advantage
advantageds advantage
advantages advantage
advantaging advantage
advected advect
adventists adventist
advents advent
adventured adventure
adventurers adventurer
adventures adventure
adventuress adventure
adventuring adventure
adverbs adverb
adversaries adversary
adversities adversity
adverted advert
adverting advert
advertised advertise
advertisements advertisement
advertisers advertiser
advertises advertise
advertising advertise
advertized advertise
advertizes advertize
advertizing advertise
advertorials advertorial
adverts advert
advices advice
advised advise
advisers adviser
advises advise
advising advise
advisories advisory
advisors advisor
advocated advocate
advocates advocate
advocating advocate
aeolians aeolian
aeons aeon
aerated aerate
aerates aerate
aerating aerate
aerators aerator
aerialists aerialist
aerials aerial
aerodromes aerodrome
aeroplanes aeroplane
aerosolized aerosolize
aerosolizing aerosolize
aerosols aerosol
aerys aery
aesthetes aesthete
aestheticians aesthetician
aesthetics aesthetic
affairs affair
affectations affectation
affected affect
affecting affect
affections affection
affects affect
affianced affiance
affidavits affidavit
affiliated affiliate
affiliates affiliate
affiliating affiliate
affiliations affiliation
affinities affinity
affirmations affirmation
affirmed affirm
affirming affirm
affirms affirm
affixed affix
affixes affix
affixing affix
afflicted afflict
afflicting afflict
afflictions affliction
afflicts afflict
afforded afford
affording afford
affords afford
affrighted affright
affronted affront
affronting affront
affronts affront
afghanis afghani
afghans afghan
aficionados aficionado
aflatoxins aflatoxin
afls afl
afps afp
africans african
africas africa
afrikaners afrikaner
afros afro
afterbirths afterbirth
afterburners afterburner
aftereffects aftereffect
afterimages afterimage
aftermaths aftermath
afternoons afternoon
aftershocks aftershock
aftertastes aftertaste
afterthoughts afterthought
afterworlds afterworld
agamas agama
agates agate
aged age
ageing age
agencies agency
agendas agenda
agents agent
ages age
agesssss age
agglomerates agglomerate
agglomerations agglomeration
agglutinates agglutinate
aggrandising aggrandize
aggrandizing aggrandize
aggravated aggravate
aggravates aggravate
aggravating aggravate
aggravations aggravation
aggravators aggravator
aggregated aggregate
aggregates aggregate
aggregating aggregate
aggregations aggregation
aggregators aggregator
aggressing aggress
aggressions aggression
aggressors aggressor
aggrieved aggrieve
agilities agility
aging age
agios agio
agitated agitate
agitates agitate
agitating agitate
agitations agitation
agitators agitator
aglets aglet
agnostics agnostic
agonies agony
agonised agonise
agonises agonise
agonising agonise
agonists agonist
agonized agonize
agonizes agonize
agonizing agonize
agreed agree
agreeed agree
agreees agree
agreeing agree
agreements agreement
agrees agree
agribusinesses agribusiness
agriculturalists agriculturalist
agriculturists agriculturist
agronomists agronomist
ags ag
aguas agua
aided aid
aides aide
aiding aid
aids aid
aikens aiken
ailed ail
ailerons aileron
ailes ail
aileses ail
ailing ail
ailments ailment
ails ail
aimed aim
aimes aim
aiming aim
aims aim
airbrushed airbrush
airbrushes airbrush
airbrushing airbrush
airbuses airbus
aircrafts aircraft
aircrews aircrew
airdrops airdrop
aired air
airfares airfare
airfields airfield
airflows airflow
airfoils airfoil
airframes airframe
airguns airgun
airheads airhead
airing air
airings air
airlifted airlift
airlifting airlift
airlifts airlift
airliners airliner
airlines airline
airlocks airlock
airmailed airmail
airmails airmail
airmen airman
airplanes airplane
airports airport
airs air
airships airship
airspaces airspace
airspeeds airspeed
airss air
airstreams airstream
airstrips airstrip
airwaves airwave
airways airway
airwomen airwoman
ais ai
aisles aisle
ajaxs ajax
akkadians akkadian
akkas akka
aks ak
akus aku
alabamians alabamian
alamos alamo
alarmed alarm
alarming alarm
alarmists alarmist
alarms alarm
alaskans alaskan
alaskas alaska
albanians albanian
albatrosses albatross
albedos albedo
alberts albert
albinos albino
albs alb
albums album
alchemies alchemy
alchemising alchemise
alchemists alchemist
alchemized alchemize
alcoholics alcoholic
alcohols alcohol
alcoves alcove
aldehydes aldehyde
aldermen alderman
alerted alert
alerting alert
alerts alert
ales ale
aleutians aleutian
alexanders alexander
alfreds alfred
algerians algerian
algers alger
algonquins algonquin
algorithms algorithm
aliases alias
alibis alibi
alienated alienate
alienates alienate
alienating alienate
alienations alienation
aliens alien
alienss alien
alighted alight
alighting alight
alights alight
aligned align
aligning align
alignments alignment
aligns align
aliments aliment
alis ali
alkalis alkali
alkalized alkalize
alkalizers alkalizer
alkalizes alkalize
alkalizing alkalize
alkaloids alkaloid
allahs allah
allaies allay
allayed allay
allaying allay
allays allay
allegations allegation
alleged allege
alleges allege
alleghenys allegheny
allegiances allegiance
alleging allege
allegories allegory
allegorized allegorize
allegrettos allegretto
alleles allele
allens allen
allergens allergen
allergies allergy
allergists allergist
alleviated alleviate
alleviates alleviate
alleviating alleviate
alleviations alleviation
alleys alley
alleyways alleyway
alliances alliance
allied ally
allies ally
alligators alligator
alliss allis
alliterations alliteration
alliums allium
allocated allocate
allocates allocate
allocating allocate
allocations allocation
allocators allocator
allografts allograft
alloted allot
allotments allotment
allotropes allotrope
allots allot
allotted allot
allotting allot
allowances allowance
allowed allow
allowing allow
allows allow
alloying alloy
alloys alloy
alluded allude
alludes allude
alluding allude
allured allure
alluring allure
allusions allusion
allying ally
almanacs almanac
almonds almond
alpacas alpaca
alphabetized alphabetize
alphabetizing alphabetize
alphabets alphabet
alphas alpha
alpinists alpinist
alps alp
als al
alsatians alsatian
alt alternative
altars altar
alterations alteration
altercations altercation
altered alter
altering alter
alternated alternate
alternates alternate
alternating alternate
alternations alternation
alternatives alternative
alternators alternator
alters alter
altimeters altimeter
altitudes altitude
altos alto
altruists altruist
alts alt
aluminized aluminize
alumnae alumna
alumni alumnus
alums alum
alveoli alveolus
am be
amalgamated amalgamate
amalgamates amalgamate
amalgamating amalgamate
amalgamations amalgamation
amalgams amalgam
amanitas amanita
amassed amass
amasses amass
amassing amass
amateurs amateur
amazed amaze
amazes amaze
amazing amaze
amazonas amazona
amazons amazon
ambassadors ambassador
ambassadorships ambassadorship
ambers amber
ambiences ambience
ambiguities ambiguity
ambitions ambition
ambled amble
ambles amble
ambling amble
ambos ambo
ambulances ambulance
ambulating ambulate
ambushed ambush
ambushes ambush
ambushing ambush
amds amd
amebas ameba
ameliorated ameliorate
ameliorates ameliorate
ameliorating ameliorate
ameliorations amelioration
amended amend
amending amend
amendments amendment
amends amend
amenities amenity
amens amen
americanised americanize
americanisms americanism
americanized americanize
americanizing americanize
americans american
americas america
amerindians amerindian
amethysts amethyst
amigos amigo
amines amine
aminos amino
ammonites ammonite
ammonoids ammonoid
ammunitions ammunition
amnesiacs amnesiac
amnestied amnesty
amnesties amnesty
amnestying amnesty
amoebae amoeba
amoebas amoeba
amons amon
amortizations amortization
amortized amortize
amortizes amortize
amortizing amortize
amoss amos
amounted amount
amounting amount
amounts amount
amperes ampere
ampersands ampersand
amphetamines amphetamine
amphibians amphibian
amphipods amphipod
amphitheaters amphitheater
amphitheatres amphitheatre
amphorae amphora
amphoras amphora
amplifications amplification
amplified amplify
amplifiers amplifier
amplifies amplify
amplifying amplify
amplitudes amplitude
ampoules ampoule
amps amp
amputated amputate
amputates amputate
amputating amputate
amputations amputation
amputees amputee
ams am
amulets amulet
amused amuse
amusements amusement
amuses amuse
amusing amuse
amygdalas amygdala
amyloids amyloid
anabaptists anabaptist
anachronisms anachronism
anacondas anaconda
anaesthetics anaesthetic
anaesthetists anaesthetist
anaesthetized anaesthetize
anaesthetizes anaesthetize
anagrams anagram
analgesics analgesic
analogies analogy
analogists analogist
analogized analogize
analogs analog
analogues analogue
analyse analyze
analysed analyze
analyses analyze
analysing analyze
analysts analyst
analyzed analyze
analyzers analyzer
analyzes analyze
analyzing analyze
anarchists anarchist
anas ana
anathematized anathematize
anatomies anatomy
anatomised anatomise
anatomises anatomise
anatomising anatomise
anatomists anatomist
anatomizes anatomize
ancestors ancestor
ancestries ancestry
anchorages anchorage
anchored anchor
anchoress anchor
anchoring anchor
anchorites anchorite
anchormen anchorman
anchors anchor
anchovies anchovy
ancients ancient
andersens andersen
andersons anderson
andorrans andorran
andrews andrew
androgens androgen
androids android
anecdotes anecdote
aneles anele
anemias anemia
anemometers anemometer
anemones anemone
anesthesiologists anesthesiologist
anesthetics anesthetic
anesthetists anesthetist
anesthetized anesthetize
anesthetizing anesthetize
aneurisms aneurism
aneurysms aneurysm
angels angel
angered anger
angering anger
angers anger
angiosperms angiosperm
angled angle
anglers angler
angles angle
anglicans anglican
anglicised anglicise
anglicisms anglicism
anglicized anglicize
anglicizing anglicize
angling angle
anglophiles anglophile
angolans angolan
angstroms angstrom
angsts angst
anguished anguish
anguishes anguish
anguishing anguish
animalities animality
animals animal
animas anima
animated animate
animates animate
animating animate
animations animation
animators animator
animes anime
animists animist
animosities animosity
anions anion
anis ani
anklebones anklebone
ankles ankle
anklets anklet
ankylosaurs ankylosaur
ankylosauruses ankylosaurus
ankylosing ankylose
anlagen anlage
annas anna
annealing anneal
anneals anneal
annelids annelid
annes anne
annexations annexation
annexed annex
annexes annex
annexing annex
annihilated annihilate
annihilates annihilate
annihilating annihilate
annihilations annihilation
anniversaries anniversary
anniversarys anniversary
annotated annotate
annotates annotate
annotating annotate
annotations annotation
announced announce
announceded announce
announcees announce
announcements announcement
announcers announcer
announces announce
announcing announce
annoyances annoyance
annoyed annoy
annoying annoy
annoys annoy
annuals annual
annuitants annuitant
annuities annuity
annulled annul
annulling annul
annulments annulment
annuls annul
annunciated annunciate
annunciating annunciate
anodes anode
anodised anodise
anodized anodize
anodizing anodize
anointed anoint
anointing anoint
anoints anoint
anoles anole
anomalies anomaly
anoraks anorak
anorexics anorexic
ans an
anss ans
answered answer
answering answer
answers answer
antacids antacid
antagonised antagonise
antagonising antagonise
antagonisms antagonism
antagonists antagonist
antagonized antagonize
antagonizes antagonize
antagonizing antagonize
anteaters anteater
antecedents antecedent
antechambers antechamber
anted ante
anteing ante
antelopes antelope
antennae antenna
antennas antenna
anterooms anteroom
antes ante
anthems anthem
anthills anthill
anthologies anthology
anthologists anthologist
anthologized anthologize
anthropologies anthropology
anthropologists anthropologist
anthropomorphised anthropomorphise
anthropomorphising anthropomorphise
anthropomorphized anthropomorphize
anthropomorphizes anthropomorphize
anthropomorphizing anthropomorphize
antibiotics antibiotic
antibodies antibody
anticholinergics anticholinergic
antichrists antichrist
anticipated anticipate
anticipates anticipate
anticipating anticipate
anticipations anticipation
anticlimaxes anticlimax
anticoagulants anticoagulant
anticonvulsants anticonvulsant
antics antic
antidepressants antidepressant
antidiarrheals antidiarrheal
antidotes antidote
antielectrons antielectron
antifungals antifungal
antigens antigen
antiguas antigua
antiheroes antihero
antihistamines antihistamine
antihypertensives antihypertensive
antimicrobials antimicrobial
antineutrinos antineutrino
antioxidants antioxidant
antiparticles antiparticle
antipathies antipathy
antiperspirants antiperspirant
antipodes antipode
antiprotons antiproton
antipsychotics antipsychotic
antiquarians antiquarian
antiquaries antiquary
antiquarks antiquark
antiquated antiquate
antiqued antique
antiques antique
antiquing antique
antiquities antiquity
antis anti
antitheses antithesis
antitoxins antitoxin
antivirals antiviral
antlers antler
antlions antlion
antonyms antonym
ants ant
antwerps antwerp
anuses anus
anvils anvil
anxieties anxiety
anxiolytics anxiolytic
anzacs anzac
aortas aorta
apaches apache
apartments apartment
apatites apatite
apatosaurs apatosaur
apcs apc
aped ape
apeing ape
aperitifs aperitif
apertures aperture
apes ape
apexes apex
aphids aphid
aphorisms aphorism
aphrodisiacs aphrodisiac
apiaries apiary
apices apex
aping ape
apneas apnea
apocalypses apocalypse
apollos apollo
apologias apologia
apologies apology
apologised apologise
apologises apologise
apologising apologise
apologists apologist
apologized apologize
apologizes apologize
apologizing apologize
apophthegms apophthegm
apostates apostate
apostatizing apostatize
apostles apostle
apostrophes apostrophe
apothecaries apothecary
apothecia apothecium
appalachians appalachian
appaled appal
appaling appal
appalled appal
appalling appal
appalls appall
apparatchiks apparatchik
apparatuses apparatus
appareled apparel
apparels apparel
apparitions apparition
appealed appeal
appealing appeal
appeals appeal
appearances appearance
appeared appear
appearing appear
appears appear
appeased appease
appeasers appeaser
appeases appease
appeasing appease
appellants appellant
appellations appellation
appendages appendage
appendectomies appendectomy
appended append
appendices appendix
appending append
appendixes appendix
appends append
appetisers appetiser
appetites appetite
appetizers appetizer
applauded applaud
applauding applaud
applauds applaud
apples apple
applets applet
appliances appliance
applicants applicant
applications application
applicationss application
applicators applicator
applied apply
appliers applier
applies apply
appliqued applique
appliques applique
applying apply
appointed appoint
appointees appointee
appointing appoint
appointings appoint
appointments appointment
appoints appoint
apportioned apportion
apportioning apportion
apportions apportion
apposed appose
appraisals appraisal
appraised appraise
appraisers appraiser
appraises appraise
appraising appraise
appreciated appreciate
appreciates appreciate
appreciating appreciate
appreciations appreciation
appreciators appreciator
apprehended apprehend
apprehending apprehend
apprehends apprehend
apprehensions apprehension
apprenticed apprentice
apprentices apprentice
apprenticeships apprenticeship
apprenticing apprentice
apprised apprise
apprising apprise
approached approach
approaches approach
approaching approach
approbations approbation
appropriated appropriate
appropriates appropriate
appropriating appropriate
appropriations appropriation
appropriators appropriator
approvals approval
approved approve
approvers approver
approves approve
approving approve
approximated approximate
approximates approximate
approximating approximate
approximations approximation
apps app
appurtenances appurtenance
apricots apricot
aprils april
aprons apron
aprs apr
apsides apsis
aptitudes aptitude
aquacultures aquaculture
aquamarines aquamarine
aquanauts aquanaut
aquaplaned aquaplane
aquaplanes aquaplane
aquaplaning aquaplane
aquaria aquarium
aquariums aquarium
aquas aqua
aquatics aquatic
aqueducts aqueduct
aquifers aquifer
arabesques arabesque
arabians arabian
arabs arab
arachnids arachnid
araks arak
aras ara
arawaks arawak
arbiters arbiter
arbitraged arbitrage
arbitragers arbitrager
arbitrages arbitrage
arbitrageurs arbitrageur
arbitraging arbitrage
arbitrated arbitrate
arbitrating arbitrate
arbitrations arbitration
arbitrators arbitrator
arboreta arboretum
arbors arbor
arboviruses arbovirus
arbs arb
arcades arcade
arcadians arcadian
arcadias arcadia
arcana arcanum
arced arc
archaeologists archaeologist
archangels archangel
archbishops archbishop
arched arch
archeologists archeologist
archers archer
arches arch
archetypes archetype
arching arch
archipelagoes archipelago
archipelagos archipelago
architects architect
architectures architecture
architraves architrave
archived archive
archives archive
archiving archive
archivists archivist
archpriests archpriest
archs arch
archways archway
arcing arc
arcminutes arcminute
arcs arc
arcseconds arcsecond
are be
areas area
arenas arena
arenaviruses arenavirus
areolae areola
areolas areola
ares are
argentinas argentina
argentines argentine
argentinians argentinian
argonauts argonaut
argos argo
argued argue
arguers arguer
argues argue
arguing argue
argumentations argumentation
arguments argument
arias aria
arieses aries
arils aril
arised arise
arisen arise
arises arise
arising arise
aristocracies aristocracy
aristocrats aristocrat
aristotelians aristotelian
arizonans arizonan
arizonians arizonian
arkansans arkansan
arks ark
armadas armada
armadillos armadillo
armageddons armageddon
armaments armament
armatures armature
armbands armband
armchairs armchair
armed arm
armenians armenian
armes arm
armfuls armful
armholes armhole
armies army
armillarias armillaria
arming arm
armlets armlet
armoires armoire
armored armor
armorers armorer
armories armory
armoring armor
armors armor
armour armor
armoured armour
armours armour
armpits armpit
armrests armrest
arms arm
armstrongs armstrong
armys army
arnos arno
aromas aroma
aromatized aromatize
arose arise
arousals arousal
aroused arouse
arouses arouse
arousing arouse
arpeggios arpeggio
arps arp
arquebuses arquebus
arraigned arraign
arraigning arraign
arraignments arraignment
arranged arrange
arrangements arrangement
arrangers arranger
arranges arrange
arranging arrange
arrayed array
arrays array
arrested arrest
arresting arrest
arrests arrest
arrhythmias arrhythmia
arrivals arrival
arrived arrive
arrives arrive
arriving arrive
arrivistes arriviste
arrogated arrogate
arrogates arrogate
arrowheads arrowhead
arrows arrow
arroyos arroyo
arseholes arsehole
arsenals arsenal
arsonists arsonist
arsons arson
artal rotl
artefacts artifact
arteries artery
arthropods arthropod
arthurs arthur
artichokes artichoke
articles article
articulated articulate
articulates articulate
articulating articulate
articulations articulation
artifacts artifact
artifices artifice
artisans artisan
artistes artiste
artists artist
arts art
artworks artwork
aryans aryan
as a
asanas asana
ascendancies ascendancy
ascendants ascendant
ascended ascend
ascenders ascender
ascending ascend
ascends ascend
ascensions ascension
ascents ascent
ascertained ascertain
ascertaining ascertain
ascertains ascertain
ascetics ascetic
ascots ascot
ascribed ascribe
ascribes ascribe
ascribing ascribe
ashcans ashcan
ashes ash
ashrams ashram
ashtons ashton
ashtrays ashtray
asians asian
asias asia
asides aside
asimovs asimov
asked ask
askers asker
asking ask
asks ask
aspects aspect
aspens aspen
asperities asperity
aspersions aspersion
asphyxiated asphyxiate
asphyxiating asphyxiate
aspirants aspirant
aspirated aspirate
aspirating aspirate
aspirations aspiration
aspirators aspirator
aspired aspire
aspires aspire
aspiring aspire
aspirins aspirin
asps asp
assailants assailant
assailed assail
assailing assail
assails assail
assassinated assassinate
assassinates assassinate
assassinating assassinate
assassinations assassination
assassins assassin
assaulted assault
assaulters assaulter
assaulting assault
assaults assault
assayed assay
assaying assay
assays assay
assemblages assemblage
assembled assemble
assemblers assembler
assembles assemble
assemblies assembly
assembling assemble
assemblymen assemblyman
assented assent
assenting assent
asserted assert
asserting assert
assertions assertion
asserts assert
asses ass
asseses ass
assessed assess
assesses assess
assessing assess
assessments assessment
assessors assessor
assets asset
assholes asshole
assignations assignation
assigned assign
assignees assignee
assigning assign
assignments assignment
assigns assign
assimilated assimilate
assimilates assimilate
assimilating assimilate
assistances assistance
assistants assistant
assisted assist
assisting assist
assists assist
associated associate
associates associate
associating associate
associations association
assorted assort
assortments assortment
assuaged assuage
assuages assuage
assuaging assuage
assumed assume
assumes assume
assuming assume
assumptions assumption
assurances assurance
assured assure
assures assure
assuring assure
assyrians assyrian
asterisked asterisk
asterisks asterisk
asterisms asterism
asteroids asteroid
asters aster
asthmatics asthmatic
astonished astonish
astonishes astonish
astonishing astonish
astors astor
astounded astound
astounding astound
astounds astound
astringents astringent
astrocytes astrocyte
astrologers astrologer
astrologists astrologist
astronauts astronaut
astronomers astronomer
astrophysicists astrophysicist
asylums asylum
asymmetries asymmetry
ate eat
ateliers atelier
ates ate
athabascans athabascan
atheists atheist
athenians athenian
athletes athlete
atlantas atlanta
atlantics atlantic
atlases atlas
atlass atlas
atmospheres atmosphere
atms atm
atolls atoll
atomised atomise
atomising atomise
atomized atomize
atomizers atomizer
atomizing atomize
atoms atom
atoned atone
atones atone
atoning atone
atria atrium
atriums atrium
atrocities atrocity
atrophied atrophy
atrophies atrophy
atrophying atrophy
ats at
atss at
attached attach
attaches attach
attaching attach
attachments attachment
attacked attack
attackers attacker
attacking attack
attacks attack
attained attain
attaining attain
attainments attainment
attains attain
attempted attempt
attempters attempter
attempting attempt
attempts attempt
attendances attendance
attendants attendant
attended attend
attendees attendee
attending attend
attendings attend
attends attend
attentions attention
attenuated attenuate
attenuates attenuate
attenuating attenuate
attested attest
attesting attest
attests attest
attics attic
attired attire
attires attire
attitudes attitude
attitudinizing attitudinize
attorneys attorney
attracted attract
attracting attract
attractions attraction
attractors attractor
attracts attract
attributed attribute
attributes attribute
attributing attribute
attributions attribution
attuned attune
attunes attune
attuning attune
auberges auberge
aubergines aubergine
auctioned auction
auctioneers auctioneer
auctioning auction
auctions auction
audibles audible
audiences audience
audiobooks audiobook
audios audio
audiotapes audiotape
audited audit
auditing audit
auditioned audition
auditioning audition
auditions audition
auditoria auditorium
auditoriums auditorium
auditors auditor
audits audit
augers auger
aughts aught
augmentations augmentation
augmented augment
augmenting augment
augments augment
augs aug
augured augur
augurs augur
augusts august
auklets auklet
auks auk
aunties aunty
aunts aunt
auras aura
auricles auricle
aurorae aurora
auroras aurora
aus au
auspices auspex
aussies aussie
austerities austerity
austins austin
australians australian
australias australia
australopithecines australopithecine
austrians austrian
auteurs auteur
authenticated authenticate
authenticates authenticate
authenticating authenticate
authentications authentication
authenticators authenticator
authored author
authoress author
authoring author
authorisations authorisation
authorised authorise
authorises authorise
authorising authorise
authoritarians authoritarian
authorities authority
authorizations authorization
authorized authorize
authorizers authorizer
authorizes authorize
authorizing authorize
authors author
authorships authorship
autobahns autobahn
autobiographies autobiography
autobots autobot
autoclaved autoclave
autoclaves autoclave
autoclaving autoclave
autocracies autocracy
autocrats autocrat
autofocuses autofocus
autographed autograph
autographing autograph
autographings autograph
autographs autograph
automakers automaker
automata automaton
automated automate
automates automate
automatics automatic
automating automate
automations automation
automatized automatize
automatizing automatize
automatons automaton
automobiles automobile
autonomies autonomy
autopilots autopilot
autopsies autopsy
autos auto
autotrophs autotroph
autumns autumn
auxiliaries auxiliary
