### word lemma
# a 
abilities ability
armies army
armour armor
arose arise
arrangements arrangement
arrays array
arrested arrest
arresting arrest
arrived arrive
artefacts artifact
articles article
articulates articulate
articulating articulate
artifacts artifact
as a
ascending ascend
ascribed ascribe
asked ask
asking ask
asks ask
aspects aspect
aspiring aspire
assembled assemble
assembling assemble
assertions assertion
assessed assess
assesses assess
assessing assess
assessments assessment
assessors assessor
assets asset
assigned assign
assigning assign
assignments assignment
assigns assign
assistants assistant
assisted assist
associated associate
associates associate
associating associate
associations association
assumed assume
assumes assume
assuming assume
assumptions assumption
assurances assurance
assured assure
assuring assure
ate eat
attached attach
attacked attack
attackers attacker
attacking attack
attacks attack
attempted attempt
attempting attempt
attempts attempt
attended attend
attending attend
attitudes attitude
attorneys attorney
attributed attribute
attributes attribute
attributing attribute
attributions attribution
audiences audience
audiobooks audiobook
audited audit
auditing audit
auditors auditor
audits audit
augmentations augmentation
augmented augment
augmenting augment
authorised authorise
authorities authority
authorizations authorization
authorized authorize
authors author
autobots autobot
automata automaton
automated automate
automates automate
automating automate
automobiles automobile
averages average
averaging average
avoided avoid
avoiding avoid
avoids avoid
awarded award
awarding award
axed axe
axes axe
axing axe
axioms axiom
axs axe
# b
babysat babysit
babysits babysit
babysitted babysit
babysitting babysit
backdoors backdoor
backgrounds background
backups backup
bagging bag
bailing bail
baked bake
bakes bake
balanced balance
balances balance
balancing balance
bandits bandit
banking bank
banks bank
baptised baptize
barbecue bbq
barbecued bbq
barbecueing bbq
barbecues bbq
barbecuing bbq
barbeque bbq
barbequed bbq
barbequeing bbq
barbeques bbq
barbequing bbq
barbies barbie
bars bar
based base
baselines baseline
bases base
basics basic
basing base
batched batch
batches batch
bathed bathe
bathes bathe
bathing bathe
battlefields battlefield
beating beat
beatle beatles
beats beat
became become
becomes become
becoming become
been be
beetles beetle
began begin
beginings beginning
beginning begin
begins begin
begs beg
begun begin
behaved behave
behaves behave
behaving behave
behaviors behavior
behaviour behavior
behaviours behavior
being be
beings be
beliefs belief
believed believe
believes believe
belive believe
belles belle
belonged belong
belonging belong
belongs belong
bemoaned bemoan
benchmarks benchmark
bending bend
benefited benefit
benefiting benefit
benefits benefit
bets bet
biased bias
biases bias
bides bide
biding bide
biked bicycle
bikeing bicycle
bikers biker
bikes bicycle
biking bicycle
billions billion
bills bill
binaries binary
binding bind
bined bin
bines bin
bining bin
binning bin
bins bin
bios bio
bitcoins bitcoin
bits bit
blacks black
blacksmithing blacksmith
bladed blade
blading blade
blended blend
blends blend
blessing bless
blessings bless
blocked block
blocks block
blogged blog
blogging blog
blogs blog
blond blonde
blonds blonde
blown blow
blueprints blueprint
blunted blunt
blurring blur
boards board
bobbleheads bobblehead
bodies body
boils boil
bolstered bolster
books book
boosted boost
boosting boost
boosts boost
boot boots
borders border
bore bored
boreding bored
boreing bored
boring bored
borrowed borrow
borrowers borrower
borrowing borrow
boses boss
bosses boss
bought buy
bouncing bounce
bound bind
boundaries boundary
bounded bound
bounds bound
bounties bounty
bowled bowling
boxes box
brains brain
brainstorming brainstorm
branches branch
brands brand
brazillian brazilian
breached breach
breaches breach
breadcrumbs breadcrumb
breaking break
breaks break
breakthroughs breakthrough
breeds breed
bringing bring
brings bring
broken break
brookings brook
brought bring
browsing browse
buckets bucket
bugs bug
building build
builds build
built build
bundled bundle
burgeoning burgeon
burning burn
businesses business
bussed bus
busses bus
bussing bus
buttes butte
buying buy
buys buy
bypassed bypass
bypassing bypass
byproducts byproduct
bytes byte
# c
cackeling cackle
caffiene caffeine
caffine caffeine
cal california
calculated calculate
calculates calculate
calculating calculate
calculations calculation
calculators calculator
calders calder
cali california
calibrated calibrate
calibrating calibrate
called call
calling call
calls call
calves calf
came come
camelias camellia
cameras camera
camouflaging camouflage
canceling cancel
candidates candidate
caned cane
canellas canella
canes cane
caning cane
canned cans
canning cans
canvassed canvas
canvasses canvas
canvassing canvas
capabilities capability
capacities capacity
caped cape
capes cape
caping cape
capitalized capitalize
capitalizing capitalize
caps cap
captions caption
captured capture
captures capture
capturing capture
carbs carb
cards card
careers career
cares care
carried carry
carries carry
carrying carry
cars car
cases case
cataloging catalog
catalogue catalog
catalogued catalog
catalogues catalog
cataloguing catalog
catching catch
categories category
categorized categorize
categorizes categorize
categorizing categorize
cations cation
cats cat
caught catch
caused cause
causes cause
causing cause
cautions caution
caveats caveat
ccs cc
cd compactdisc
cds compactdisc
ceases cease
celeb celebrity
celebs celebrity
cells cell
centered center
centering center
centers center
centralized centralize
centre center
centred center
centres center
centroids centroid
centuries century
certificates certificate
certifications certification
certifying certify
chaining chain
chains chain
challenged challenge
challenges challenge
challenging challenge
champ champion
champs champion
chances chance
changed change
changes change
changing change
chaperoned chaperone
chaperones chaperone
chaperoning chaperone
chaperons chaperone
chapters chapter
characterised characterize
characteristics characteristic
characterizations characterization
characterized characterize
characters character
charged charge
charts chart
chassing chase
cheating cheat
checked check
checkers checker
checking check
checklists checklist
checkpoints checkpoint
checks check
chests chest
children child
chilies chili
chilli chili
chillies chili
chillin chill
chillis chili
chinees chinese
chines chinese
chineses chinese
chiness chinese
choices choice
choosing choose
choreographed choreograph
chose choose
chosen choose
chunks chunk
churning churn
cig cigarette
cigaret cigarette
cigarets cigarette
cigg cigarette
ciggs cigarette
cigs cigarette
cinematics cinematic
circles circle
circuits circuit
circumstances circumstance
circumvented circumvent
circumvents circumvent
citations citation
cited cite
cites cite
cities city
citing cite
citizens citizen
civilisations civilization
civilised civilize
claimed claim
claiming claim
claims claim
clamouring clamor
clarified clarify
clarifying clarify
classed class
classes class
classifications classification
classified classify
classifiers classifier
classifies classify
classifying classify
cleaned clean
cleaning clean
clenched clench
clenches clench
clenching clench
clicking click
clients client
clipping clip
closed close
closes close
closing close
clothed clothes
clothing clothes
clothings clothes
cloths clothes
clues clue
clustering cluster
clusters cluster
cms cm
coalitions coalition
coarsened coarsen
coauthors coauthor
cocoanut coconut
cocoanuts coconut
coded code
codes code
coding code
coefficients coefficient
coined coin
coladas colada
collaborating collaborate
collaborators collaborator
colleagues colleague
collected collect
collecting collect
collects collect
colleges college
colored color
colour color
coloured color
colourful colorful
colouring color
colourist colorist
colourists colorist
colours color
cols column
columns column
comas coma
combating combat
combinations combination
combined combine
combines combine
combining combine
comes come
coming come
commentators commentator
comments comment
commissioners commissioner
commissioning commission
commitments commitment
commits commit
committed commit
committees committee
committing commit
communicated communicate
communicates communicate
communicating communicate
communications communication
communities community
companies company
companys company
compared compare
compares compare
comparing compare
comparisons comparison
compelling compel
compensating compensate
competencies competency
competing compete
competitions competition
competitors competitor
compiled compile
compiling compile
complaints complaint
completing complete
complexities complexity
complicated complicate
complicates complicate
complies comply
complying comply
components component
composed compose
compressed compress
comprised comprise
comprises comprise
compromised compromise
compromises compromise
compromising compromise
comptrollers comptroller
computations computation
computed compute
computers computer
computing compute
conceited conceit
concentrated concentrate
concepts concept
conceptualizing conceptualize
concerned concern
concerning concern
concerns concern
concluded conclude
concludes conclude
concluding conclude
conclusions conclusion
condensed condense
conditioning condition
conditions condition
conducted conduct
conducting conduct
conducts conduct
cones cone
config configuration
configs configuration
configurations configuration
confined confine
confirmed confirm
confirming confirm
confirms confirm
conflicts conflict
confounding confound
confounds confound
confronted confront
confronting confront
confused confuse
confusing confuse
congrats congratulations
connected connect
connecting connect
connections connection
connects connect
cons con
conseded concede
consequences consequence
conservatories conservatory
considerations consideration
considered consider
considering consider
considers consider
consisting consist
consists consist
consolidates consolidate
conspired conspire
conspires conspire
constitutes constitute
constrained constrain
constraining constrain
constrains constrain
constraints constraint
constructed construct
constructing construct
constructs construct
consultants consultant
consultations consultation
consulted consult
consulting consult
consumers consumer
consuming consume
contacted contact
contained contain
containers container
containing contain
contains contain
contents content
contexts context
continued continue
continues continue
continuing continue
contours contour
contractors contractor
contracts contract
contradicted contradict
contradicts contradict
contributed contribute
contributes contribute
contributing contribute
contributions contribution
contributors contributor
controlled control
controllers controller
controlling control
controls control
conventions convention
converges converge
converging converge
conversed converse
converting convert
converts convert
convinced convince
convinces convince
convincing convince
convo conversation
convos conversation
cookies cookie
cookin cook
coordinated coordinate
coordinates coordinate
coordinating coordinate
coped cope
copes cope
copied copy
copies copy
coping cope
corespondents correspondent
corners corner
corpora corpus
corpses corpse
corrected correct
correcting correct
corrections correction
correlated correlate
correlates correlate
correlations correlation
corresponding correspond
corresponds correspond
corrupted corrupt
corrupting corrupt
corrupts corrupt
costing cost
costs cost
counsels counsel
countermeasures countermeasure
counters counter
counting count
countries country
counts count
coupled couple
couponing coupon
courses course
courts court
covered cover
covering cover
covers cover
cracks crack
crafted craft
crafting craft
cranked crank
cranks crank
crashes crash
crawled crawl
created create
creates create
creating create
credentials credential
creditors creditor
crimes crime
criteria criterion
criticisms criticism
criticized criticize
critiques critique
cropped crop
cropping crop
crossing cross
crs cr
cs c
cubed cube
cubes cube
cubing cube
cues cue
culprits culprit
cultivates cultivate
cultivating cultivate
cultures culture
curricula curriculum
curves curve
curving curve
cus cu
customers customer
customise customize
customised customize
customized customize
customizing customize
cutes cute
cutoffs cutoff
cuts cut
cutscenes cutscene
cutting cut
cuttings cut
cycled cycle
cycles cycle
# d
damages damage
damaging damage
dames dame
damning damn
dangers danger
das da
dashes dash
databases database
dates date
days day
dayss day
daysss day
dayssss day
deactivating deactivate
dealing deal
deals deal
dealt deal
deathmatches deathmatch
debated debate
debugged debug
debugging debug
debunked debunk
decades decade
decaying decay
deceased decease
decepticons decepticon
decided decide
decides decide
deciding decide
deciles decile
decimals decimal
decisions decision
declarations declaration
declines decline
decolonising decolonise
decommissioned decommission
decommissioning decommission
decoupled decouple
decreased decrease
decreases decrease
decreasing decrease
dedicated dedicate
deduced deduce
deemed deem
deems deem
defaulting default
defaults default
defeating defeat
defenders defender
defending defend
defenses defense
defined define
defines define
defining define
definitions definition
degradations degradation
degrades degrade
degrading degrade
degrees degree
delayed delay
delaying delay
delegated delegate
deleted delete
deleting delete
deliberating deliberate
delinquencies delinquency
deliverables deliverable
delivered deliver
delivering deliver
delivers deliver
delves delve
delving delve
demands demand
demographics demographic
demonstrated demonstrate
demonstrates demonstrate
demonstrating demonstrate
demos demo
denials denial
denied deny
denoted denote
denotes denote
denoting denote
dents dent
denying deny
departments department
dependencies dependency
depending depend
depends depend
depicted depict
depicting depict
depictions depiction
depicts depict
deployed deploy
deploying deploy
deployments deployment
deploys deploy
deprived deprive
deprives deprive
depriving deprive
dept department
derivatives derivative
derived derive
derives derive
deriving derive
descendants descendant
described describe
describes describe
describing describe
descriptions description
desiderata desideratum
designated designate
designed design
designers designer
designing design
designs design
desired desire
destroyed destroy
destroying destroy
detached detach
detailed detail
details detail
detected detect
detecting detect
detects detect
determined determine
determines determine
determining determine
deterring deter
detoxifying detoxify
devalued devalue
devastating devastate
developed develop
developers developer
developing develop
developments development
develops develop
deviates deviate
deviations deviation
devices device
devolved devolve
diagnosed diagnose
diagnoses diagnose
diagnosing diagnose
dialogues dialogue
diapered diaper
diapering diaper
dichotomised dichotomise
dictated dictate
dictates dictate
dictionaries dictionary
did do
differences difference
differentiated differentiate
differentiating differentiate
differing differ
differs differ
difficulties difficulty
digits digit
dimensions dimension
dimes dime
diminished diminish
diminishes diminish
diminishing diminish
dined dine
dines dine
dining dine
dinings dine
dips dip
directed direct
directing direct
directions direction
directors director
disabilities disability
disadvantaged disadvantage
disadvantages disadvantage
disappearing disappear
disappointed disappoint
disappointing disappoint
disasters disaster
disbursements disbursement
disciplined discipline
disciplines discipline
disclaimers disclaimer
disclosed disclose
disclosing disclose
disclosures disclosure
discouraging discourage
discovered discover
discovering discover
discrepancies discrepancy
discriminated discriminate
discriminating discriminate
discriminators discriminator
discussed discuss
discusses discuss
discussing discuss
discussions discussion
diseases disease
disenfranchised disenfranchise
disengaging disengage
disfavored disfavor
disgruntled disgruntle
disorganized disorganize
disparities disparity
dispensed dispense
displayed display
displays display
disputes dispute
disqualifying disqualify
disregarding disregard
disruptions disruption
dissected dissect
dissecting dissect
dissenting dissent
dissimilarities dissimilarity
distances distance
distilled distill
distilling distill
distinguished distinguish
distinguishes distinguish
distinguishing distinguish
distorted distort
distorting distort
distracted distract
distracting distract
distracts distract
distributed distribute
distributes distribute
distributing distribute
distributions distribution
distributors distributor
disturbed disturb
disturbing disturb
diverged diverge
diverges diverge
diverses diverse
diversions diversion
diverted divert
dives dive
divided divide
dividing divide
diving dive
divisions division
divulged divulge
diys diy
dj discjockey
djed discjockey
djing discjockey
djs discjockey
docs doc
doctors doctor
documented document
documenting document
documents document
does do
doggie doggy
dogies doggy
doing do
dollars dollar
domains domain
dominates dominate
done do
doomed doom
dos do
doses dose
doted dote
dotes dote
doting dote
dots dot
doubles double
doubting doubt
doubts doubt
downplays downplay
dozens dozen
dr doctor
drafted draft
drafting draft
drafts draft
drags drag
drawbacks drawback
drawing draw
drawn draw
draws draw
dreams dream
dredging dredge
drew draw
drifting drift
drifts drift
drinking drink
driven drive
drivers driver
drives drive
driving drive
dropped drop
dropping drop
drove drive
ds datascientist
dss datascientist
ducks duck
duellists duelist
dumbbells dumbbell
dumping dump
dunes dune
duning dune
dunning dun
duties duty
dynamics dynamic
# e
eating eat
eavesdropping eavesdrop
ebms ebm
echoes echo
economies economy
economists economist
ecosystems ecosystem
edged edge
edges edge
edited edit
editing edit
editions edition
editors editor
edps edp
eds ed
educated educate
educating educate
eecs eec
effected effect
effects effect
efficiencies efficiency
efforts effort
elements element
elevated elevate
elicited elicit
eliciting elicit
eliminated eliminate
eliminating eliminate
ellipses ellipse
els el
emails email
embarrassing embarrass
embedded embed
embedding embed
emerged emerge
emergencies emergency
emerges emerge
emerging emerge
emissions emission
empathise empathize
empathising empathize
emphasized emphasize
emphasizes emphasize
employed employ
employees employee
employing employ
employs employ
empowered empower
emulating emulate
enabled enable
enables enable
enabling enable
enacted enact
enacting enact
enamoured enamor
encoded encode
encodes encode
encoding encode
encompasses encompass
encountered encounter
encountering encounter
encounters encounter
encouraged encourage
encourages encourage
encouraging encourage
endangered endanger
endeavors endeavor
endeavour endeavor
ended end
endpoints endpoint
ends end
enemys enemy
energised energize
enfjs enfj
enforced enforce
enforcing enforce
enfps enfp
engaged engage
engages engage
engaging engage
engineered engineer
engineering engineer
engineers engineer
engines engine
enhanced enhance
enhancements enhancement
enhances enhance
enhancing enhance
enroled enroll
enrolled enroll
enrolling enroll
ensembles ensemble
ensures ensure
ensuring ensure
entails entail
entangled entangle
entered enter
entering enter
enterprises enterprise
enters enter
enthral enthrall
enthralled enthrall
enthralling enthrall
entities entity
entitled entitle
entitys entity
entjs entj
entps entp
entries entry
enumerated enumerate
enumerating enumerate
envelopes envelope
environments environment
epochs epoch
equalized equalize
equals equal
equates equate
equations equation
equipped equip
erasing erase
ergs erg
errata erratum
errors error
ers er
es e
escalating escalate
escalations escalation
escaping escape
esfjs esfj
esfps esfp
established establish
establishes establish
establishing establish
estimated estimate
estimates estimate
estimating estimate
estimators estimator
estjs estj
estps estp
ests est
ethics ethic
ethnicities ethnicity
evades evade
evading evade
evaluated evaluate
evaluates evaluate
evaluating evaluate
evaluations evaluation
evaluators evaluator
evasions evasion
evenings evening
events event
evidenced evidence
evolved evolve
evolves evolve
evolving evolve
ex exx
exacerbated exacerbate
exacerbating exacerbate
exaggerated exaggerate
examinations examination
examined examine
examines examine
examining examine
examples example
exams exam
exceeding exceed
exceeds exceed
exceptions exception
exchanged exchange
exchanges exchange
exchanging exchange
exciting excite
excluded exclude
excused excuse
excuses excuse
executed execute
executes execute
executing execute
executives executive
exercises exercise
exes exx
exhibited exhibit
exhibiting exhibit
exhibits exhibit
existed exist
existing exist
exists exist
exorcised exercise
exorcises exercise
exorcising exercise
expanded expand
expands expand
expectations expectation
expected expect
expects expect
expended expend
expenses expense
experienced experience
experiences experience
experiencing experience
experimented experiment
experiments experiment
experts expert
explained explain
explaining explain
explains explain
explanation explain
explanations explain
exploded explode
exploited exploit
exploiting exploit
exploits exploit
explorations exploration
explored explore
explores explore
exploring explore
explosions explosion
exposed expose
exposes expose
exposing expose
expressed express
expressing express
exs exx
exses exx
extended extend
extending extend
extends extend
extenuating extenuate
externalities externality
externalizing externalize
extolled extol
extorted extort
extracted extract
extracting extract
extractors extractor
extracts extract
extrapolating extrapolate
extravert extrovert
extraverted extrovert
extraverts extrovert
extroverted extrovert
eyeballing eyeball
eyeballs eyeball
eyebrows eyebrow
eyed eye
eyes eye
# f
faced face
faces face
facets facet
facilitating facilitate
facilities facility
facing face
factored factor
factoring factor
factors factor
facts fact
failed fail
failing fail
failings fail
fails fail
failures failure
fakes fake
fallen fall
falling fall
falls fall
falsifies falsify
falters falter
fam family
famed fame
familiarizing familiarize
families family
fantasise fantasize
fantasising fantasize
fascists fascist
fashioned fashion
fatalities fatality
fated fate
fates fate
fatties fattie
fattys fattie
faults fault
fave favorite
faves favorite
favored favor
favoring favor
favorit favorite
favorited favorite
favoriting favorite
favors favor
favortie favorite
favour favor
favoured favor
favouring favor
favourite favorite
favourited favorite
favourites favorite
favouriting favorite
favours favor
favs favorite
feats feat
features feature
federated federate
feed fee
feeding feed
feeling feel
feelings feel
feels feel
fell fall
felt feel
females female
fetched fetch
fibre fiber
fibres fiber
fielding field
fields field
fifths fifth
fighting fight
figures figure
files file
filled fill
filles fille
films film
filtered filter
filtering filter
filters filter
finding find
findings find
finds find
fined fine
fines fine
finess finesse
finessed finesse
finessing finesse
fingerprints fingerprint
fining fine
finished finish
fires fire
firewalls firewall
firms firm
fits fit
fitted fit
fitting fit
fixed fix
fixes fix
fixing fix
fla florida
flagged flag
flagging flag
flags flag
flavors flavor
flavour flavor
flavoured flavor
flavours flavor
flawed flaw
flaws flaw
flipped flip
flipping flip
flips flip
floggings flog
flooding flood
flops flop
flowcharts flowchart
flowing flow
flows flow
foci focus
focused focus
focuses focus
focusing focus
folds fold
followed follow
following follow
follows follow
fonts font
fooled fool
fooling fool
footing foot
forced force
forces force
forcing force
forecasting forecast
forecasts forecast
forests forest
foretelling foretell
foretells foretell
forges forge
forgetting forget
forgot forget
forgotten forget
formalised formalise
formalized formalize
formations formation
formats format
formatted format
formed form
forming form
forms form
formulae formula
formulas formula
formulated formulate
fortes forte
forums forum
forwarding forward
fostering foster
fosters foster
found find
foundations foundation
fourths fourth
fractions fraction
fragments fragment
framed frame
frames frame
frameworks framework
framing frame
freestylers freestyler
frightening frighten
frills frill
frises frise
frontiers frontier
frostings frosting
fruits fruit
frustrating frustrate
fueled fuel
fulfiled fulfil
fulfiling fulfil
fulfilled fulfil
fulfilling fulfil
fulfills fulfill
fulfils fulfill
functionalities functionality
functioning function
functions function
fundamentals fundamental
funded fund
funding fund
furnishing furnish
furthering further
# g
gaged gage
gages gage
gaging gauge
gained gain
gaining gain
gains gain
galss glass
gamed game
gamers gamer
games game
gaming game
gams gam
gaped gape
gapes gape
gaping gape
gapped gap
gaps gap
garnering garner
gated gate
gatekeepers gatekeeper
gates gate
gathered gather
gathering gather
gave give
geared gear
genders gender
genera genre
generalised generalize
generalizations generalization
generalized generalize
generalizes generalize
generals general
generated generate
generates generate
generating generate
generations generation
geographies geography
gerrymandering gerrymander
gets get
getting get
giants giant
gibbons gibbon
ginsing ginseng
given give
givens given
gives give
giving give
glamor glamour
glamors glamour
glaring glare
gleaned glean
glitched glitch
glitches glitch
glitching glitch
glutes glute
goals goal
goes go
going go
gone go
goodies goody
got get
governing govern
governments government
governors governor
govt government
grad graduate
gradate graduate
gradated graduate
gradates graduate
gradating graduate
graded grade
grades grade
gradients gradient
grading grade
grads graduate
graduating graduate
granted grant
granting grant
grants grant
graphics graphic
graphs graph
grappling grapple
graveyards graveyard
grids grid
gripes gripe
griping gripe
grounded ground
grouped group
grouping group
groups group
growing grow
grown grow
guaranteed guarantee
guarantees guarantee
guarding guard
guardrails guardrail
guessed guess
guesses guess
guided guide
guidelines guideline
guides guide
guiding guide
guis gui
gutted gut
gutting gut
gymnastic gymnastics
# h
hacked hack
hackers hacker
hacking hack
hacks hack
had have
hairbands hairband
haired hair
hallucinations hallucination
hampering hamper
handing hand
handled handle
handles handle
handling handle
hands hand
hangin hang
happened happen
happeness happiness
happening happen
happens happen
happyness happiness
harbour harbor
harboured harbor
harbouring harbor
harbours harbor
hardened harden
hardening harden
harleys harley
harmed harm
harming harm
harms harm
harnessing harness
has have
hashed hash
hashtags hashtag
hated hate
hates hate
hating hate
havens haven
having have
hawes haw
headaches headache
headdresses headdress
headed head
heading head
headlines headline
headphone headphones
heads head
healing heal
heard hear
hearted heart
held hold
helped help
helping help
helps help
hesitated hesitate
heuristics heuristic
hidden hide
hiding hide
hierarchies hierarchy
highlighted highlight
highlighting highlight
highlights highlight
hinders hinder
hints hint
hippies hippie
hippy hippie
hiring hire
histograms histogram
histories history
hits hit
hoagies hoagie
holders holder
holding hold
holds hold
holes hole
homelss homeless
homes home
homies homie
honored honor
honors honor
honour honor
honoured honor
honouring honor
honours honor
hoodies hoodie
hoped hope
hopes hope
hoping hope
hospitals hospital
hosted host
hosts host
hours hour
housed house
houses house
housing house
hovering hover
howlin howl
hs h
https http
humans human
humour humor
humoured humor
humouring humor
humours humor
hundreds hundred
hurting hurt
hurts hurt
hwy highway
hyped hype
hypotheses hypothesis
# i
idealized idealize
ideas idea
identified identify
identifiers identifier
identifies identify
identifying identify
identities identity
ids id
ignored ignore
ignoring ignore
ilia ilium
illustrated illustrate
illustrates illustrate
images image
imaging image
imagining imagine
imbalances imbalance
imbued imbue
imitated imitate
imitating imitate
imitations imitation
immigrants immigrant
impacted impact
impacting impact
impacts impact
impaired impair
impairing impair
impairments impairment
impairs impair
imparts impart
impending impend
impersonated impersonate
impersonators impersonator
implementations implementation
implemented implement
implementing implement
implements implement
implicated implicate
implications implication
implied imply
implies imply
implying imply
importances importance
imposed impose
imposing impose
impressed impress
impressions impression
improved improve
improvements improvement
improves improve
improving improve
inaccuracies inaccuracy
incentives incentive
incidents incident
inclined incline
included include
includes include
including include
inconsistencies inconsistency
incorporated incorporate
incorporates incorporate
incorporating incorporate
increased increase
increases increase
increasing increase
increments increment
indexed index
indexing index
indicated indicate
indicates indicate
indicating indicate
indications indication
indicators indicator
indices index
individuals individual
indoor indoors
induced induce
inducing induce
industries industry
inferences inference
inferred infer
inferring infer
infers infer
infjs infj
inflated inflate
inflating inflate
inflected inflect
inflections inflection
influenced influence
influences influence
influencing influence
informations information
informed inform
informing inform
informs inform
infps infp
infrastructures infrastructure
infused infuse
ingrained ingrain
initiated initiate
initiating initiate
initiatives initiative
injected inject
injecting inject
injects inject
injuries injury
inlaid inlay
innovators innovator
inputs input
inquiries inquiry
inserted insert
insiders insider
insights insight
insists insist
inspired inspire
instabilities instability
instal install
installed install
installers installer
installing install
instances instance
instantiated instantiate
instantiates instantiate
instilling instill
instincts instinct
institutes institute
institutions institution
instructions instruction
instrumentalists instrumentalist
instrumentals instrumental
instruments instrument
insults insult
insurers insurer
integrated integrate
integrates integrate
integrating integrate
integrators integrator
intended intend
intends intend
intensities intensity
intentions intention
interacting interact
interactions interaction
interacts interact
intercepts intercept
interconnected interconnect
interdependencies interdependency
interesed interest
interesing interest
interested interest
interesting interest
interests interest
interfaces interface
interpretations interpret
interpretations interpret
interpreted interpret
interpreting interpret
interrelated interrelate
interrogating interrogate
intersecting intersect
intervals interval
intervened intervene
intervening intervene
interventions intervention
interviews interview
interweb interwebs
interwebz interwebs
interwoven interweave
intjs intj
intps intp
intriguing intrigue
introduced introduce
introduces introduce
introducing introduce
intuitions intuition
inventories inventory
inventors inventor
inventorying inventory
investigated investigate
investigates investigate
investigating investigate
investigations investigation
investigators investigator
investments investment
investors investor
invited invite
invokes invoke
involved involve
involves involve
involving involve
ipads ipad
iphones iphone
irregularities irregularity
is be
isfjs isfj
isfps isfp
isis isi
isolated isolate
issuances issuance
issued issue
issues issue
issuing issue
istjs istj
istps istp
items item
iterates iterate
iterating iterate
iterations iteration
its it
# j
jacobs jacob
jailing jail
jaywalking jaywalk
jets jet
jewellery jewelry
jibes jibe
jis ji
jobs job
johns john
jots jot
journals journal
judas juda
judged judge
judgement judgment
judgemental judgmental
judgements judgment
judges judge
judging judge
judgments judgment
juiced juice
juicing juice
jumping jump
junctures juncture
juries jury
jurisdictions jurisdiction
justifications justification
justified justify
justifying justify
jutes jute
# k
karting kart
karts kart
keeping keep
keeps keep
kept keep
keras kera
kettlebells kettlebell
keys key
kiddos kiddo
kidnappings kidnap
killing kill
kills kill
killstreaks killstreak
kilometre kilometer
kinds kind
kites kite
kiting kite
knocks knock
knots knot
knowing know
known know
knows know
krones krone
ks k
# l
labeled label
labeling label
labelled label
labelling label
labels label
laboratorys laboratory
labored labor
labour labor
laboured labor
labouring labor
labours labor
labs lab
laced lace
lacking lack
lacks lack
laden lade
laid lay
lamed lame
lames lame
laming lame
landers lander
languages language
lapses lapse
lasting last
launching launch
laws law
lawyers lawyer
layers layer
laying lay
lays lay
leaderboards leaderboard
leaders leader
leading lead
leads lead
leaks leak
leaned lean
leaning lean
learned learn
learners learner
learning learn
learnings learn
learns learn
leaves leave
leaving leave
led lead
left leave
legs leg
lenders lender
lending lend
lent lend
les le
lessening lessen
lessons lesson
lets let
letting let
